average,0,1,2,3,Sum
0,1,0,0,0,1
0.1,0.96,0.038,0.002,0,1
0.2,0.919,0.06,0.02,0.001,1
0.3,0.84,0.095,0.063,0.002,1
0.4,0.76,0.146,0.09,0.004,1
0.5,0.68,0.2,0.11,0.01,1
0.6,0.587,0.28,0.12,0.013,1
0.7,0.51,0.33,0.142,0.018,1
0.8,0.446527944,0.374091815,0.156261728,0.023118513,1
0.9,0.385745766,0.419229407,0.162393731,0.032631096,1
1,0.330656432,0.432552089,0.197511511,0.039279967,1
1.1,0.285917658,0.422367977,0.247086894,0.04462747,1
1.2,0.256187161,0.396985186,0.296591708,0.050235945,1
1.3,0.246122656,0.364711831,0.331497779,0.057667734,1
1.4,0.24,0.345,0.35,0.065,1
1.5,0.23,0.34,0.34,0.09,1
1.6,0.22,0.335,0.315,0.13,1
1.7,0.2,0.33,0.305,0.165,1
1.8,0.18,0.32,0.28,0.22,1
1.9,0.14,0.31,0.27,0.28,1
2,0.12,0.3,0.25,0.33,1
2.1,0.1,0.25,0.23,0.42,1
2.2,0.08,0.2,0.2,0.52,1
2.3,0.05,0.15,0.17,0.63,1
2.4,0.03,0.1,0.12,0.75,1
2.5,0.01,0.03,0.06,0.9,1
