average,1,2,3,4,SUM
1,1,0,0,0,1
1.1,0.94,0.04,0.02,0,1
1.2,0.87,0.1,0.02,0.01,1
1.3,0.79,0.17,0.03,0.01,1
1.4,0.72,0.23,0.03,0.02,1
1.5,0.65,0.28,0.04,0.03,1
1.6,0.59,0.32,0.05,0.04,1
1.7,0.53,0.34,0.07,0.06,1
1.8,0.48,0.36,0.08,0.08,1
1.9,0.44,0.38,0.09,0.09,1
2,0.41,0.38,0.11,0.1,1
2.1,0.38,0.38,0.12,0.12,1
2.2,0.35,0.38,0.14,0.13,1
2.3,0.33,0.37,0.15,0.15,1
2.4,0.31,0.36,0.16,0.17,1
2.5,0.29,0.35,0.17,0.19,1
2.6,0.27,0.33,0.18,0.22,1
2.7,0.25,0.32,0.18,0.25,1
2.8,0.23,0.31,0.18,0.28,1
2.9,0.21,0.3,0.18,0.31,1
3,0.2,0.28,0.18,0.34,1
3.1,0.2,0.26,0.17,0.37,1
3.2,0.19,0.24,0.17,0.4,1
3.3,0.19,0.22,0.16,0.43,1
3.4,0.18,0.2,0.15,0.47,1
3.5,0.17,0.18,0.14,0.51,1
3.6,0.15,0.17,0.13,0.55,1
3.7,0.13,0.18,0.1,0.59,1
3.8,0.1,0.2,0.07,0.63,1
3.9,0.07,0.22,0.04,0.67,1
4,0.02,0.25,0.01,0.72,1
