Dist,Trips,Shares,Target,Log Error
0,19397.96938,7.2089,19.6131,1.0009
1,29991.87446,11.1459,7.9734,-0.335
2,37974.3511,14.1124,11.9601,-0.1655
3,40933.36073,15.2121,12.9568,-0.1605
4,35388.50279,13.1515,8.9701,-0.3826
5,29318.58823,10.8957,6.9767,-0.4458
6,24175.56814,8.9844,7.5099,-0.1793
7,17175.83989,6.3831,4.784,-0.2884
8,12102.51406,4.4977,5.083,0.1224
9,7662.270333,2.8475,4.9834,0.5597
10,4915.359115,1.8267,4.0864,0.8051
11,3250.419649,1.208,1.794,0.3955
12,2085.536786,0.775,1.8937,0.8934
13,1299.734638,0.483,0.3987,-0.1919
14,896.8915165,0.3333,0.6977,0.7387
15,612.6970215,0.2277,0.0997,-0.8262
16,446.5016902,0.1659,0.0897,-0.6151
17,328.7893298,0.1222,0.0797,-0.4269
18,257.5973599,0.0957,0,-0.0957
19,223.198267,0.0829,0.0498,-0.5095
20,186.3568492,0.0693,0,-0.0693
21,460.2546734,0.171,0,-0.171
