Dist,Trips,Shares,Target,Log Error
0,3543.210041,2.901057461,3.903903904,0.296901741
1,6943.224023,5.684870958,5.005005005,-0.127370016
2,9655.346468,7.905462728,8.308308308,0.04970201
3,11847.08304,9.699980596,10.01001001,0.031461708
4,11508.08682,9.422422253,10.31031031,0.090052201
5,11276.52856,9.232830384,9.009009009,-0.024540574
6,16543.86857,13.54554565,13.01301301,-0.040107901
7,9477.725763,7.760033056,9.50950951,0.203305705
8,8078.952843,6.614766315,7.607607608,0.139844277
9,6464.8147,5.293166001,5.805805806,0.092441863
10,5005.414041,4.09825937,4.204204204,0.025522686
11,4179.056805,3.421666733,2.002002002,-0.5359801
12,3374.345788,2.762797269,1.901901902,-0.373389283
13,2587.864331,2.118853537,3.003003003,0.348737631
14,2184.076648,1.78824619,1.901901902,0.061619029
15,1897.681523,1.553755797,0.500500501,-1.132821775
16,1545.544647,1.26543834,1.001001001,-0.234418076
17,1236.645695,1.012522593,0.3003003,-1.215417138
18,1122.848196,0.91934915,0.800800801,-0.138053746
19,943.2164848,0.772272936,0,-0.258417248
20,839.0412282,0.68697785,1.001001001,0.376453729
21,1880.544788,1.539724833,0.900900901,-0.535963736
