ScreenLine,A,B,Area Type,Fac Type,Fac Type Group,Volume,Count,Distance
0,1000,1005,4,1,1,22586,22962,3.45
0,1017,1022,4,6,4,46,1206,0.02
0,1018,5699,5,5,3,5011,3877,0.13
0,1020,1018,5,5,3,5011,3877,0.27
0,1022,1017,4,6,4,1192,1206,0.02
0,1023,1025,5,5,3,3909,3877,0.27
0,1052,1070,5,1,1,22540,23572,0.87
0,1066,1073,5,5,3,3533,8308,0.34
0,1068,1045,5,1,1,23625,21595,1.03
0,1102,1106,5,6,4,7861,2823,0.11
0,1104,1117,5,7,4,581,308,0.52
0,1107,1103,5,6,4,6300,2823,0.1
0,1117,1104,5,7,4,582,308,0.52
0,1128,1130,5,7,4,3,134,0.24
0,1130,1128,5,7,4,2,134,0.24
0,1135,1142,5,5,3,1455,5377,0.29
0,1138,1141,5,7,4,0,823,0.08
0,1141,1138,5,7,4,0,823,0.08
0,1142,1135,5,5,3,2154,5377,0.29
0,1145,1169,4,1,1,27741,25610,1.26
0,1158,1159,4,5,3,2861,7144,0.12
0,1159,1158,4,5,3,3562,7144,0.12
0,1171,1172,4,5,3,5850,9105,0.1
0,1172,1171,4,5,3,6559,9105,0.1
0,1191,1219,4,5,3,8776,10260,0.44
0,1194,1195,4,6,4,2292,2523,0.02
0,1195,1194,4,6,4,2286,2523,0.02
0,1195,1196,4,6,4,2292,2399,0.16
0,1196,1195,4,6,4,2286,2399,0.16
0,1198,1175,4,1,1,30387,24043,0.6
0,1204,1230,5,5,3,2207,2189,0.28
0,1219,1191,4,5,3,9493,10260,0.44
0,1222,1228,4,3,2,15872,11209,0.05
0,1228,1235,4,3,2,14501,9590,0.09
0,1229,1224,4,3,2,15907,11209,0.04
0,1230,1204,5,5,3,2171,2189,0.28
0,1236,1229,4,3,2,14463,9590,0.09
0,1242,1247,4,5,3,12986,14956,0.05
0,1247,1242,4,5,3,13720,14956,0.05
0,1256,1316,4,1,1,33642,29455,0.93
0,1268,1275,4,6,4,586,2699,0.26
0,1275,1268,4,6,4,586,2699,0.26
0,1275,1347,4,6,4,2180,3353,0.76
0,1308,1324,5,7,4,2953,600,0.47
0,1314,1253,4,1,1,36184,28448,1.02
1,1315,1318,4,7,4,151,1251,0.19
1,1318,1315,4,7,4,149,1251,0.19
0,1321,1322,4,6,4,38,631,0.09
0,1322,1321,4,6,4,109,631,0.09
0,1323,1329,4,4,2,12439,7915,0.07
0,1324,1308,5,7,4,3132,600,0.47
0,1325,1332,4,7,4,3270,602,0.1
0,1329,1323,4,4,2,12953,7915,0.07
0,1332,1325,4,7,4,3093,602,0.1
0,1345,1357,4,5,3,11824,9167,0.13
0,1347,1275,4,6,4,2328,3353,0.76
1,1353,1366,4,6,4,51,935,0.13
0,1356,1346,4,5,3,11681,9167,0.12
1,1366,1353,4,6,4,53,935,0.13
0,1384,1393,4,5,3,13252,9932,0.07
0,1391,1401,4,6,4,4724,3461,0.07
0,1393,1384,4,5,3,13164,9932,0.07
0,1401,1391,4,6,4,4739,3461,0.07
0,1410,1411,4,6,4,49,716,0.06
0,1411,1410,4,6,4,48,716,0.06
0,1418,1421,4,6,4,300,1123,0.18
